corpus	sent_id	left	node	right	node_sentences	senses	category
ind_mixed_2012_1M	579873	Jadi dapat email dari sampean	mengenai	"""Tuhan dan kesadaran tertinggi""; terasa klop dengan rasa keingin-tahuan saya mengenai kepercayaan terhadap Tuhan."	"Jadi dapat email dari sampean <m>mengenai</m> ""Tuhan dan kesadaran tertinggi""; terasa klop dengan rasa keingin-tahuan saya mengenai kepercayaan terhadap Tuhan."	NA	prep
ind_mixed_2012_1M	656319	Namun, perlu disadari bahwa persepsi	mengenai	_aik_dan _dil_dipengaruhi oleh nilai-nilai dan ideologi masing-masing.	Namun, perlu disadari bahwa persepsi <m>mengenai</m> _aik_dan _dil_dipengaruhi oleh nilai-nilai dan ideologi masing-masing.	NA	prep
ind_mixed_2012_1M	632460	Ini adalah bagian dari seri reguler	mengenai	_omplex programming_yang saya tulis sebagai garis besar untuk sekuel buku pertama saya, _reaking the Chain_	Ini adalah bagian dari seri reguler <m>mengenai</m> _omplex programming_yang saya tulis sebagai garis besar untuk sekuel buku pertama saya, _reaking the Chain_	NA	prep
ind_mixed_2012_1M	866927	Bahkan ia merupakan kajian poskolonial sebagai respon terhadap antusiasme Spivak	mengenai	_apatkah subaltern berbicara?	Bahkan ia merupakan kajian poskolonial sebagai respon terhadap antusiasme Spivak <m>mengenai</m> _apatkah subaltern berbicara?	NA	prep
ind_mixed_2012_1M	137625	Badiou melihat, situasi pada saat itu sangat paradoks, pada satu sisi menguatnya opini publik	mengenai	_emokrasi_dalam bentuk perwakilan dan pemilu yang korup, dan _ebebasan_yang direduksi menjadi kebebasan pertukaran dagang dan konsumsi.	Badiou melihat, situasi pada saat itu sangat paradoks, pada satu sisi menguatnya opini publik <m>mengenai</m> _emokrasi_dalam bentuk perwakilan dan pemilu yang korup, dan _ebebasan_yang direduksi menjadi kebebasan pertukaran dagang dan konsumsi.	NA	prep
ind_mixed_2012_1M	968059	Salah satu materi yang relevant dalam orientasi ini adalah	mengenai	_inamika Kelompok_yang disampaikan oleh Bapak Ahmad Munir, SH, MA seorang pejabat eselon IV Departemen Luar Negeri yang kaya pengalaman.	Salah satu materi yang relevant dalam orientasi ini adalah <m>mengenai</m> _inamika Kelompok_yang disampaikan oleh Bapak Ahmad Munir, SH, MA seorang pejabat eselon IV Departemen Luar Negeri yang kaya pengalaman.	NA	prep
ind_mixed_2012_1M	484811	Juga munculnya suatu buku populaer	mengenai	_oa Yesus_oleh seorang penulis Rusia yang tak dikenal namanya : _alan Si Pengembara_(Di Indonesia telah diterjemahkan oleh Gereja Roma Katolik dari Yayasan Kanisius, dengan judul _oa Tak Kunjung Putus_.	Juga munculnya suatu buku populaer <m>mengenai</m> _oa Yesus_oleh seorang penulis Rusia yang tak dikenal namanya : _alan Si Pengembara_(Di Indonesia telah diterjemahkan oleh Gereja Roma Katolik dari Yayasan Kanisius, dengan judul _oa Tak Kunjung Putus_.	NA	prep
ind_mixed_2012_1M	84786	Kebijakan anti-Leninis yang sama	mengenai	_ua tahapan_diikuti oleh semua Partai Komunis di dunia jajahan: mendukung _aum borjuasi nasional progresif_melawan imperialisme, menurunkan perjuangan demi sosialisme ke masa depan dan cahaya yang jauh.	Kebijakan anti-Leninis yang sama <m>mengenai</m> _ua tahapan_diikuti oleh semua Partai Komunis di dunia jajahan: mendukung _aum borjuasi nasional progresif_melawan imperialisme, menurunkan perjuangan demi sosialisme ke masa depan dan cahaya yang jauh.	NA	prep
ind_mixed_2012_1M	971471	Menurut hemat saya, fatwa Rasululah tersebut sudah sangat jelas	mengenai	_enomena kerasukan setan_	Menurut hemat saya, fatwa Rasululah tersebut sudah sangat jelas <m>mengenai</m> _enomena kerasukan setan_	NA	prep
ind_mixed_2012_1M	513930	Bimbingan	mengenai	_ubungan luas dan ambivalen_dengan penelitian (Sprinthall, 1981, hal.	Bimbingan <m>mengenai</m> _ubungan luas dan ambivalen_dengan penelitian (Sprinthall, 1981, hal.	NA	prep
ind_mixed_2012_1M	202998	Untuk saat ini cukuplah uraian kita	mengenai	_njil_New Age.	Untuk saat ini cukuplah uraian kita <m>mengenai</m> _njil_New Age.	NA	prep
ind_mixed_2012_1M	861101	Faktor ini penting karena tidak selalu ada kejelasan	mengenai	_awaban yang benar_terhadap dilema etis dan memikirkan hal itu sebelum benar-benar menghadapinya dalam pekerjaan sebenarnya sangat berguna bagi mahasiswa jurnalistik.	Faktor ini penting karena tidak selalu ada kejelasan <m>mengenai</m> _awaban yang benar_terhadap dilema etis dan memikirkan hal itu sebelum benar-benar menghadapinya dalam pekerjaan sebenarnya sangat berguna bagi mahasiswa jurnalistik.	NA	prep
ind_mixed_2012_1M	743294	Sepanjang	mengenai	_ejahatan_ atas dasar perkembangan konvensi internasional dan hukum kebiasaan internasional serta paling tidak satu dari 10 karakteristik, dapat diidentifikasikan 22 kejahatan internasional dan kejahatan transnasional.	Sepanjang <m>mengenai</m> _ejahatan_ atas dasar perkembangan konvensi internasional dan hukum kebiasaan internasional serta paling tidak satu dari 10 karakteristik, dapat diidentifikasikan 22 kejahatan internasional dan kejahatan transnasional.	NA	prep
ind_mixed_2012_1M	267748	Ayu Utami dalam sebuah tulisan pengantar di pameran Tino Djumini pernah bercerita	mengenai	_eluarga_dengan sangat sederhana.	Ayu Utami dalam sebuah tulisan pengantar di pameran Tino Djumini pernah bercerita <m>mengenai</m> _eluarga_dengan sangat sederhana.	NA	prep
ind_mixed_2012_1M	18823	Berbagai uraian	mengenai	_erusuhan Mei 1998_dalam buku ini sesungguhnya lebih cenderung merupakan hasil analisis Pak Sintong Panjaitan terhadap situasi dan informasi yang diterimanya.	Berbagai uraian <m>mengenai</m> _erusuhan Mei 1998_dalam buku ini sesungguhnya lebih cenderung merupakan hasil analisis Pak Sintong Panjaitan terhadap situasi dan informasi yang diterimanya.	NA	prep
ind_mixed_2012_1M	864496	Paling tidak, ia telah mendapatkan gambaran sejak awal	mengenai	_akhluk_macam apa yang akan dia hadapi sehingga dapat mempersiapkan diri untuk menerima tantangannya.	Paling tidak, ia telah mendapatkan gambaran sejak awal <m>mengenai</m> _akhluk_macam apa yang akan dia hadapi sehingga dapat mempersiapkan diri untuk menerima tantangannya.	NA	prep
ind_mixed_2012_1M	983694	Selama lebih dari 40 tahun, telah banyak artikel ilmiah	mengenai	_anusia Piltdown_ditulis, sejumlah penafsiran dan gambar dibuat, dan fosil tersebut dikemukakan sebagai bukti penting evolusi manusia.	Selama lebih dari 40 tahun, telah banyak artikel ilmiah <m>mengenai</m> _anusia Piltdown_ditulis, sejumlah penafsiran dan gambar dibuat, dan fosil tersebut dikemukakan sebagai bukti penting evolusi manusia.	NA	prep
ind_mixed_2012_1M	908117	Bab pertama buku ini akan berbicara	mengenai	_engasihi Allah dan Pasangan.	Bab pertama buku ini akan berbicara <m>mengenai</m> _engasihi Allah dan Pasangan.	NA	prep
ind_mixed_2012_1M	632993	Perhatikan bahwa Kalvinis bukan hanya berbicara	mengenai	_engizinkan dosa.	Perhatikan bahwa Kalvinis bukan hanya berbicara <m>mengenai</m> _engizinkan dosa.	NA	prep
ind_mixed_2012_1M	151554	Dipaparkan juga bahwa	mengenai	_erobah fasal-fasal 6 dan 7 Konstitusi URSS, Partai sudah menyatakan menolak campurtangan dalam badan-badan negara, menolak melakukan fungsi-fungsi administratif eksekutif_	Dipaparkan juga bahwa <m>mengenai</m> _erobah fasal-fasal 6 dan 7 Konstitusi URSS, Partai sudah menyatakan menolak campurtangan dalam badan-badan negara, menolak melakukan fungsi-fungsi administratif eksekutif_	NA	prep
